The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.098
Layer 2 - PCA Explained Variance: 0.090
Layer 3 - PCA Explained Variance: 0.090
Layer 4 - PCA Explained Variance: 0.093
Layer 5 - PCA Explained Variance: 0.119
Layer 6 - PCA Explained Variance: 0.133
Layer 7 - PCA Explained Variance: 0.132
Layer 8 - PCA Explained Variance: 0.145
Layer 9 - PCA Explained Variance: 0.145
Layer 10 - PCA Explained Variance: 0.139
Layer 11 - PCA Explained Variance: 0.150
Layer 12 - PCA Explained Variance: 0.136
Layer 13 - PCA Explained Variance: 0.124
Layer 14 - PCA Explained Variance: 0.091
Layer 15 - PCA Explained Variance: 0.093
Layer 16 - PCA Explained Variance: 0.090
Layer 17 - PCA Explained Variance: 0.080
Layer 18 - PCA Explained Variance: 0.075
Layer 19 - PCA Explained Variance: 0.075
Layer 20 - PCA Explained Variance: 0.076
Layer 21 - PCA Explained Variance: 0.081
Layer 22 - PCA Explained Variance: 0.093
Layer 23 - PCA Explained Variance: 0.110
Layer 24 - PCA Explained Variance: 0.110
Layer 25 - PCA Explained Variance: 0.116
Layer 26 - PCA Explained Variance: 0.117
Layer 27 - PCA Explained Variance: 0.112
Layer 28 - PCA Explained Variance: 0.111
Layer 29 - PCA Explained Variance: 0.104
Layer 30 - PCA Explained Variance: 0.100
Layer 31 - PCA Explained Variance: 0.081
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: 0.252, SM: 3.484
Layer 2 - M²: 0.641, SM: 0.224
Layer 3 - M²: 0.828, SM: 0.489
Layer 4 - M²: 0.863, SM: 0.489
Layer 5 - M²: 0.868, SM: 0.436
Layer 6 - M²: 0.854, SM: 0.423
Layer 7 - M²: 0.863, SM: 0.441
Layer 8 - M²: 0.816, SM: 0.367
Layer 9 - M²: 0.846, SM: 0.430
Layer 10 - M²: 0.826, SM: 0.415
Layer 11 - M²: 0.865, SM: 0.466
Layer 12 - M²: 0.862, SM: 0.457
Layer 13 - M²: 0.815, SM: 0.435
Layer 14 - M²: 0.751, SM: 0.488
Layer 15 - M²: 0.756, SM: 0.458
Layer 16 - M²: 0.721, SM: 0.477
Layer 17 - M²: 0.639, SM: 0.471
Layer 18 - M²: 0.611, SM: 0.544
Layer 19 - M²: 0.578, SM: 0.565
Layer 20 - M²: 0.547, SM: 0.559
Layer 21 - M²: 0.556, SM: 0.606
Layer 22 - M²: -0.500, SM: 0.606
Layer 23 - M²: -0.445, SM: 0.614
Layer 24 - M²: -0.431, SM: 0.610
Layer 25 - M²: -0.423, SM: 0.607
Layer 26 - M²: -0.427, SM: 0.608
Layer 27 - M²: 0.430, SM: 0.608
Layer 28 - M²: 0.441, SM: 0.606
Layer 29 - M²: -0.444, SM: 0.608
Layer 30 - M²: 0.465, SM: 0.606
Layer 31 - M²: -0.111, SM: 7.516
