The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.164
Layer 2 - PCA Explained Variance: 0.164
Layer 3 - PCA Explained Variance: 0.210
Layer 4 - PCA Explained Variance: 0.285
Layer 5 - PCA Explained Variance: 0.270
Layer 6 - PCA Explained Variance: 0.283
Layer 7 - PCA Explained Variance: 0.287
Layer 8 - PCA Explained Variance: 0.315
Layer 9 - PCA Explained Variance: 0.302
Layer 10 - PCA Explained Variance: 0.279
Layer 11 - PCA Explained Variance: 0.279
Layer 12 - PCA Explained Variance: 0.248
Layer 13 - PCA Explained Variance: 0.233
Layer 14 - PCA Explained Variance: 0.203
Layer 15 - PCA Explained Variance: 0.194
Layer 16 - PCA Explained Variance: 0.193
Layer 17 - PCA Explained Variance: 0.194
Layer 18 - PCA Explained Variance: 0.196
Layer 19 - PCA Explained Variance: 0.230
Layer 20 - PCA Explained Variance: 0.244
Layer 21 - PCA Explained Variance: 0.264
Layer 22 - PCA Explained Variance: 0.264
Layer 23 - PCA Explained Variance: 0.267
Layer 24 - PCA Explained Variance: 0.268
Layer 25 - PCA Explained Variance: 0.268
Layer 26 - PCA Explained Variance: 0.270
Layer 27 - PCA Explained Variance: 0.268
Layer 28 - PCA Explained Variance: 0.261
Layer 29 - PCA Explained Variance: 0.255
Layer 30 - PCA Explained Variance: 0.245
Layer 31 - PCA Explained Variance: 0.203
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: 0.132, SM: 2.515
Layer 2 - M²: 0.926, SM: 1.476
Layer 3 - M²: 0.969, SM: 1.084
Layer 4 - M²: 0.973, SM: 0.586
Layer 5 - M²: 0.961, SM: 0.610
Layer 6 - M²: 0.959, SM: 0.535
Layer 7 - M²: -0.956, SM: 0.533
Layer 8 - M²: 0.960, SM: 0.532
Layer 9 - M²: 0.962, SM: 0.593
Layer 10 - M²: 0.963, SM: 0.628
Layer 11 - M²: 0.962, SM: 0.621
Layer 12 - M²: 0.961, SM: 0.625
Layer 13 - M²: 0.957, SM: 0.589
Layer 14 - M²: 0.864, SM: 0.439
Layer 15 - M²: 0.851, SM: 0.429
Layer 16 - M²: 0.840, SM: 0.483
Layer 17 - M²: 0.829, SM: 0.522
Layer 18 - M²: 0.820, SM: 0.550
Layer 19 - M²: 0.790, SM: 0.387
Layer 20 - M²: 0.795, SM: 0.395
Layer 21 - M²: -0.795, SM: 0.362
Layer 22 - M²: -0.810, SM: 0.399
Layer 23 - M²: -0.817, SM: 0.406
Layer 24 - M²: -0.812, SM: 0.402
Layer 25 - M²: -0.818, SM: 0.435
Layer 26 - M²: -0.816, SM: 0.445
Layer 27 - M²: -0.817, SM: 0.471
Layer 28 - M²: -0.822, SM: 0.495
Layer 29 - M²: -0.821, SM: 0.519
Layer 30 - M²: -0.827, SM: 0.565
Layer 31 - M²: -0.773, SM: 0.364
