The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.120
Layer 2 - PCA Explained Variance: 0.154
Layer 3 - PCA Explained Variance: 0.192
Layer 4 - PCA Explained Variance: 0.278
Layer 5 - PCA Explained Variance: 0.261
Layer 6 - PCA Explained Variance: 0.275
Layer 7 - PCA Explained Variance: 0.276
Layer 8 - PCA Explained Variance: 0.308
Layer 9 - PCA Explained Variance: 0.296
Layer 10 - PCA Explained Variance: 0.273
Layer 11 - PCA Explained Variance: 0.274
Layer 12 - PCA Explained Variance: 0.241
Layer 13 - PCA Explained Variance: 0.222
Layer 14 - PCA Explained Variance: 0.190
Layer 15 - PCA Explained Variance: 0.182
Layer 16 - PCA Explained Variance: 0.181
Layer 17 - PCA Explained Variance: 0.183
Layer 18 - PCA Explained Variance: 0.185
Layer 19 - PCA Explained Variance: 0.217
Layer 20 - PCA Explained Variance: 0.230
Layer 21 - PCA Explained Variance: 0.250
Layer 22 - PCA Explained Variance: 0.250
Layer 23 - PCA Explained Variance: 0.252
Layer 24 - PCA Explained Variance: 0.252
Layer 25 - PCA Explained Variance: 0.254
Layer 26 - PCA Explained Variance: 0.255
Layer 27 - PCA Explained Variance: 0.253
Layer 28 - PCA Explained Variance: 0.250
Layer 29 - PCA Explained Variance: 0.245
Layer 30 - PCA Explained Variance: 0.236
Layer 31 - PCA Explained Variance: 0.193
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: 0.380, SM: 2.006
Layer 2 - M²: 0.930, SM: 0.644
Layer 3 - M²: 0.958, SM: 0.932
Layer 4 - M²: 0.963, SM: 0.561
Layer 5 - M²: 0.943, SM: 0.585
Layer 6 - M²: 0.934, SM: 0.542
Layer 7 - M²: -0.931, SM: 0.563
Layer 8 - M²: 0.930, SM: 0.553
Layer 9 - M²: 0.943, SM: 0.604
Layer 10 - M²: 0.944, SM: 0.640
Layer 11 - M²: 0.945, SM: 0.628
Layer 12 - M²: 0.948, SM: 0.625
Layer 13 - M²: 0.945, SM: 0.628
Layer 14 - M²: 0.932, SM: 0.583
Layer 15 - M²: 0.921, SM: 0.521
Layer 16 - M²: 0.914, SM: 0.596
Layer 17 - M²: 0.896, SM: 0.649
Layer 18 - M²: 0.877, SM: 0.650
Layer 19 - M²: 0.841, SM: 0.549
Layer 20 - M²: 0.844, SM: 0.586
Layer 21 - M²: -0.842, SM: 0.587
Layer 22 - M²: -0.847, SM: 0.620
Layer 23 - M²: -0.847, SM: 0.645
Layer 24 - M²: -0.838, SM: 0.648
Layer 25 - M²: -0.840, SM: 0.678
Layer 26 - M²: -0.837, SM: 0.701
Layer 27 - M²: -0.834, SM: 0.735
Layer 28 - M²: -0.837, SM: 0.783
Layer 29 - M²: -0.839, SM: 0.811
Layer 30 - M²: -0.841, SM: 0.857
Layer 31 - M²: -0.820, SM: 0.549
