The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.078
Layer 2 - PCA Explained Variance: 0.074
Layer 3 - PCA Explained Variance: 0.081
Layer 4 - PCA Explained Variance: 0.085
Layer 5 - PCA Explained Variance: 0.103
Layer 6 - PCA Explained Variance: 0.116
Layer 7 - PCA Explained Variance: 0.121
Layer 8 - PCA Explained Variance: 0.139
Layer 9 - PCA Explained Variance: 0.153
Layer 10 - PCA Explained Variance: 0.148
Layer 11 - PCA Explained Variance: 0.167
Layer 12 - PCA Explained Variance: 0.160
Layer 13 - PCA Explained Variance: 0.146
Layer 14 - PCA Explained Variance: 0.099
Layer 15 - PCA Explained Variance: 0.103
Layer 16 - PCA Explained Variance: 0.094
Layer 17 - PCA Explained Variance: 0.084
Layer 18 - PCA Explained Variance: 0.083
Layer 19 - PCA Explained Variance: 0.093
Layer 20 - PCA Explained Variance: 0.098
Layer 21 - PCA Explained Variance: 0.106
Layer 22 - PCA Explained Variance: 0.122
Layer 23 - PCA Explained Variance: 0.149
Layer 24 - PCA Explained Variance: 0.148
Layer 25 - PCA Explained Variance: 0.152
Layer 26 - PCA Explained Variance: 0.152
Layer 27 - PCA Explained Variance: 0.144
Layer 28 - PCA Explained Variance: 0.142
Layer 29 - PCA Explained Variance: 0.131
Layer 30 - PCA Explained Variance: 0.125
Layer 31 - PCA Explained Variance: 0.090
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: 0.617, SM: 0.943
Layer 2 - M²: 0.769, SM: 0.461
Layer 3 - M²: 0.843, SM: 0.465
Layer 4 - M²: 0.886, SM: 0.473
Layer 5 - M²: 0.892, SM: 0.449
Layer 6 - M²: 0.889, SM: 0.398
Layer 7 - M²: 0.887, SM: 0.432
Layer 8 - M²: 0.875, SM: 0.439
Layer 9 - M²: 0.887, SM: 0.442
Layer 10 - M²: 0.876, SM: 0.398
Layer 11 - M²: -0.879, SM: 0.409
Layer 12 - M²: -0.873, SM: 0.382
Layer 13 - M²: 0.853, SM: 0.336
Layer 14 - M²: -0.818, SM: 0.260
Layer 15 - M²: 0.832, SM: 0.302
Layer 16 - M²: 0.810, SM: 0.339
Layer 17 - M²: 0.757, SM: 0.366
Layer 18 - M²: 0.654, SM: 0.451
Layer 19 - M²: 0.616, SM: 0.535
Layer 20 - M²: 0.596, SM: 0.534
Layer 21 - M²: 0.576, SM: 0.574
Layer 22 - M²: -0.529, SM: 0.531
Layer 23 - M²: -0.472, SM: 0.499
Layer 24 - M²: -0.453, SM: 0.473
Layer 25 - M²: -0.430, SM: 0.449
Layer 26 - M²: 0.431, SM: 0.443
Layer 27 - M²: 0.440, SM: 0.444
Layer 28 - M²: 0.447, SM: 0.441
Layer 29 - M²: 0.455, SM: 0.438
Layer 30 - M²: 0.459, SM: 0.424
Layer 31 - M²: -0.529, SM: 0.412
