The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:03<00:03,  3.11s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:04<00:00,  2.11s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:04<00:00,  2.26s/it]
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.796
Layer 2 - PCA Explained Variance: 0.760
Layer 3 - PCA Explained Variance: 0.791
Layer 4 - PCA Explained Variance: 0.698
Layer 5 - PCA Explained Variance: 0.421
Layer 6 - PCA Explained Variance: 0.304
Layer 7 - PCA Explained Variance: 0.276
Layer 8 - PCA Explained Variance: 0.247
Layer 9 - PCA Explained Variance: 0.242
Layer 10 - PCA Explained Variance: 0.204
Layer 11 - PCA Explained Variance: 0.202
Layer 12 - PCA Explained Variance: 0.233
Layer 13 - PCA Explained Variance: 0.258
Layer 14 - PCA Explained Variance: 0.256
Layer 15 - PCA Explained Variance: 0.261
Layer 16 - PCA Explained Variance: 0.276
Layer 17 - PCA Explained Variance: 0.266
Layer 18 - PCA Explained Variance: 0.244
Layer 19 - PCA Explained Variance: 0.237
Layer 20 - PCA Explained Variance: 0.276
Layer 21 - PCA Explained Variance: 0.275
Layer 22 - PCA Explained Variance: 0.283
Layer 23 - PCA Explained Variance: 0.277
Layer 24 - PCA Explained Variance: 0.275
Layer 25 - PCA Explained Variance: 0.278
Layer 26 - PCA Explained Variance: 0.316
Layer 27 - PCA Explained Variance: 0.309
Layer 28 - PCA Explained Variance: 0.299
Layer 29 - PCA Explained Variance: 0.315
Layer 30 - PCA Explained Variance: 0.324
Layer 31 - PCA Explained Variance: 0.320
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: -0.983, SM: 0.810
Layer 2 - M²: -0.992, SM: 0.786
Layer 3 - M²: 0.985, SM: 0.777
Layer 4 - M²: 0.988, SM: 0.810
Layer 5 - M²: 0.959, SM: 0.699
Layer 6 - M²: 0.956, SM: 0.818
Layer 7 - M²: 0.951, SM: 0.665
Layer 8 - M²: 0.935, SM: 0.599
Layer 9 - M²: 0.904, SM: 0.483
Layer 10 - M²: 0.898, SM: 0.421
Layer 11 - M²: 0.864, SM: 0.442
Layer 12 - M²: 0.953, SM: 0.596
Layer 13 - M²: 0.950, SM: 0.556
Layer 14 - M²: 0.926, SM: 0.555
Layer 15 - M²: 0.910, SM: 0.553
Layer 16 - M²: 0.924, SM: 0.462
Layer 17 - M²: 0.855, SM: 0.407
Layer 18 - M²: 0.849, SM: 0.333
Layer 19 - M²: 0.776, SM: 0.290
Layer 20 - M²: 0.575, SM: 0.229
Layer 21 - M²: 0.555, SM: 0.231
Layer 22 - M²: 0.561, SM: 0.244
Layer 23 - M²: 0.597, SM: 0.156
Layer 24 - M²: 0.618, SM: 0.138
Layer 25 - M²: 0.645, SM: 0.046
Layer 26 - M²: -0.710, SM: 0.167
Layer 27 - M²: 0.728, SM: 0.173
Layer 28 - M²: 0.728, SM: 0.187
Layer 29 - M²: -0.239, SM: 0.467
Layer 30 - M²: 0.313, SM: 0.420
Layer 31 - M²: 0.347, SM: 0.380
