The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:01<00:01,  1.56s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:02<00:00,  1.01s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:02<00:00,  1.09s/it]
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.238
Layer 2 - PCA Explained Variance: 0.172
Layer 3 - PCA Explained Variance: 0.131
Layer 4 - PCA Explained Variance: 0.144
Layer 5 - PCA Explained Variance: 0.163
Layer 6 - PCA Explained Variance: 0.224
Layer 7 - PCA Explained Variance: 0.190
Layer 8 - PCA Explained Variance: 0.191
Layer 9 - PCA Explained Variance: 0.189
Layer 10 - PCA Explained Variance: 0.210
Layer 11 - PCA Explained Variance: 0.199
Layer 12 - PCA Explained Variance: 0.202
Layer 13 - PCA Explained Variance: 0.188
Layer 14 - PCA Explained Variance: 0.176
Layer 15 - PCA Explained Variance: 0.169
Layer 16 - PCA Explained Variance: 0.172
Layer 17 - PCA Explained Variance: 0.137
Layer 18 - PCA Explained Variance: 0.135
Layer 19 - PCA Explained Variance: 0.126
Layer 20 - PCA Explained Variance: 0.114
Layer 21 - PCA Explained Variance: 0.114
Layer 22 - PCA Explained Variance: 0.105
Layer 23 - PCA Explained Variance: 0.101
Layer 24 - PCA Explained Variance: 0.098
Layer 25 - PCA Explained Variance: 0.090
Layer 26 - PCA Explained Variance: 0.090
Layer 27 - PCA Explained Variance: 0.088
Layer 28 - PCA Explained Variance: 0.090
Layer 29 - PCA Explained Variance: 0.092
Layer 30 - PCA Explained Variance: 0.095
Layer 31 - PCA Explained Variance: 0.102
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: 0.453, SM: 1.209
Layer 2 - M²: 0.757, SM: 0.859
Layer 3 - M²: 0.910, SM: 0.512
Layer 4 - M²: 0.912, SM: 0.440
Layer 5 - M²: 0.909, SM: 0.405
Layer 6 - M²: 0.907, SM: 0.436
Layer 7 - M²: 0.908, SM: 0.470
Layer 8 - M²: 0.906, SM: 0.506
Layer 9 - M²: 0.910, SM: 0.501
Layer 10 - M²: 0.906, SM: 0.545
Layer 11 - M²: -0.910, SM: 0.566
Layer 12 - M²: -0.905, SM: 0.531
Layer 13 - M²: -0.903, SM: 0.525
Layer 14 - M²: -0.905, SM: 0.511
Layer 15 - M²: -0.922, SM: 0.526
Layer 16 - M²: 0.925, SM: 0.546
Layer 17 - M²: 0.925, SM: 0.515
Layer 18 - M²: 0.902, SM: 0.518
Layer 19 - M²: 0.789, SM: 0.451
Layer 20 - M²: 0.695, SM: 0.450
Layer 21 - M²: 0.640, SM: 0.464
Layer 22 - M²: 0.548, SM: 0.516
Layer 23 - M²: 0.496, SM: 0.534
Layer 24 - M²: 0.479, SM: 0.550
Layer 25 - M²: -0.499, SM: 0.529
Layer 26 - M²: -0.491, SM: 0.516
Layer 27 - M²: 0.487, SM: 0.509
Layer 28 - M²: -0.507, SM: 0.480
Layer 29 - M²: 0.500, SM: 0.466
Layer 30 - M²: 0.512, SM: 0.430
Layer 31 - M²: 0.477, SM: 0.466
