The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:02,  1.29it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.28it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.30it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.78it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.56it/s]
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.178
Layer 2 - PCA Explained Variance: 0.154
Layer 3 - PCA Explained Variance: 0.133
Layer 4 - PCA Explained Variance: 0.122
Layer 5 - PCA Explained Variance: 0.126
Layer 6 - PCA Explained Variance: 0.137
Layer 7 - PCA Explained Variance: 0.141
Layer 8 - PCA Explained Variance: 0.145
Layer 9 - PCA Explained Variance: 0.152
Layer 10 - PCA Explained Variance: 0.163
Layer 11 - PCA Explained Variance: 0.151
Layer 12 - PCA Explained Variance: 0.154
Layer 13 - PCA Explained Variance: 0.156
Layer 14 - PCA Explained Variance: 0.152
Layer 15 - PCA Explained Variance: 0.158
Layer 16 - PCA Explained Variance: 0.153
Layer 17 - PCA Explained Variance: 0.154
Layer 18 - PCA Explained Variance: 0.151
Layer 19 - PCA Explained Variance: 0.151
Layer 20 - PCA Explained Variance: 0.146
Layer 21 - PCA Explained Variance: 0.135
Layer 22 - PCA Explained Variance: 0.133
Layer 23 - PCA Explained Variance: 0.129
Layer 24 - PCA Explained Variance: 0.130
Layer 25 - PCA Explained Variance: 0.119
Layer 26 - PCA Explained Variance: 0.116
Layer 27 - PCA Explained Variance: 0.115
Layer 28 - PCA Explained Variance: 0.102
Layer 29 - PCA Explained Variance: 0.105
Layer 30 - PCA Explained Variance: 0.101
Layer 31 - PCA Explained Variance: 0.098
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: -0.384, SM: 0.232
Layer 2 - M²: 0.899, SM: 0.407
Layer 3 - M²: 0.901, SM: 0.440
Layer 4 - M²: 0.892, SM: 0.369
Layer 5 - M²: 0.876, SM: 0.376
Layer 6 - M²: -0.767, SM: 0.322
Layer 7 - M²: -0.762, SM: 0.306
Layer 8 - M²: -0.838, SM: 0.360
Layer 9 - M²: -0.783, SM: 0.240
Layer 10 - M²: -0.756, SM: 0.243
Layer 11 - M²: -0.707, SM: 0.131
Layer 12 - M²: -0.670, SM: 0.124
Layer 13 - M²: -0.687, SM: 0.062
Layer 14 - M²: -0.629, SM: 0.069
Layer 15 - M²: -0.719, SM: 0.244
Layer 16 - M²: -0.675, SM: 0.220
Layer 17 - M²: -0.645, SM: 0.191
Layer 18 - M²: 0.647, SM: 0.217
Layer 19 - M²: -0.684, SM: 0.241
Layer 20 - M²: -0.642, SM: 0.199
Layer 21 - M²: -0.624, SM: 0.079
Layer 22 - M²: -0.630, SM: 0.043
Layer 23 - M²: -0.625, SM: 0.146
Layer 24 - M²: -0.615, SM: 0.146
Layer 25 - M²: -0.597, SM: 0.131
Layer 26 - M²: -0.588, SM: 0.101
Layer 27 - M²: -0.559, SM: 0.179
Layer 28 - M²: -0.551, SM: 0.225
Layer 29 - M²: -0.518, SM: 0.318
Layer 30 - M²: -0.538, SM: 0.318
Layer 31 - M²: -0.532, SM: 0.320
