The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:02,  1.22it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.21it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.23it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.67it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.47it/s]
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.455
Layer 2 - PCA Explained Variance: 0.280
Layer 3 - PCA Explained Variance: 0.306
Layer 4 - PCA Explained Variance: 0.321
Layer 5 - PCA Explained Variance: 0.263
Layer 6 - PCA Explained Variance: 0.299
Layer 7 - PCA Explained Variance: 0.258
Layer 8 - PCA Explained Variance: 0.228
Layer 9 - PCA Explained Variance: 0.228
Layer 10 - PCA Explained Variance: 0.226
Layer 11 - PCA Explained Variance: 0.216
Layer 12 - PCA Explained Variance: 0.197
Layer 13 - PCA Explained Variance: 0.196
Layer 14 - PCA Explained Variance: 0.171
Layer 15 - PCA Explained Variance: 0.181
Layer 16 - PCA Explained Variance: 0.161
Layer 17 - PCA Explained Variance: 0.156
Layer 18 - PCA Explained Variance: 0.153
Layer 19 - PCA Explained Variance: 0.140
Layer 20 - PCA Explained Variance: 0.146
Layer 21 - PCA Explained Variance: 0.136
Layer 22 - PCA Explained Variance: 0.130
Layer 23 - PCA Explained Variance: 0.125
Layer 24 - PCA Explained Variance: 0.126
Layer 25 - PCA Explained Variance: 0.130
Layer 26 - PCA Explained Variance: 0.123
Layer 27 - PCA Explained Variance: 0.124
Layer 28 - PCA Explained Variance: 0.134
Layer 29 - PCA Explained Variance: 0.127
Layer 30 - PCA Explained Variance: 0.116
Layer 31 - PCA Explained Variance: 0.115
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: -0.420, SM: 1.143
Layer 2 - M²: 0.897, SM: 1.351
Layer 3 - M²: -0.895, SM: 0.946
Layer 4 - M²: -0.937, SM: 1.246
Layer 5 - M²: -0.945, SM: 1.051
Layer 6 - M²: -0.923, SM: 1.769
Layer 7 - M²: 0.906, SM: 1.650
Layer 8 - M²: 0.917, SM: 1.027
Layer 9 - M²: -0.896, SM: 1.204
Layer 10 - M²: -0.868, SM: 1.436
Layer 11 - M²: -0.861, SM: 1.570
Layer 12 - M²: -0.844, SM: 1.605
Layer 13 - M²: 0.857, SM: 1.586
Layer 14 - M²: 0.867, SM: 1.498
Layer 15 - M²: 0.919, SM: 1.084
Layer 16 - M²: 0.908, SM: 1.212
Layer 17 - M²: 0.922, SM: 0.867
Layer 18 - M²: 0.928, SM: 0.781
Layer 19 - M²: 0.903, SM: 0.545
Layer 20 - M²: -0.907, SM: 0.594
Layer 21 - M²: -0.891, SM: 0.558
Layer 22 - M²: 0.883, SM: 0.548
Layer 23 - M²: 0.855, SM: 0.461
Layer 24 - M²: 0.850, SM: 0.582
Layer 25 - M²: 0.861, SM: 0.745
Layer 26 - M²: 0.847, SM: 0.699
Layer 27 - M²: 0.801, SM: 0.556
Layer 28 - M²: -0.656, SM: 0.716
Layer 29 - M²: -0.645, SM: 0.812
Layer 30 - M²: -0.657, SM: 0.842
Layer 31 - M²: -0.638, SM: 0.787
