The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.343
Layer 2 - PCA Explained Variance: 0.311
Layer 3 - PCA Explained Variance: 0.355
Layer 4 - PCA Explained Variance: 0.342
Layer 5 - PCA Explained Variance: 0.247
Layer 6 - PCA Explained Variance: 0.344
Layer 7 - PCA Explained Variance: 0.308
Layer 8 - PCA Explained Variance: 0.215
Layer 9 - PCA Explained Variance: 0.187
Layer 10 - PCA Explained Variance: 0.192
Layer 11 - PCA Explained Variance: 0.159
Layer 12 - PCA Explained Variance: 0.171
Layer 13 - PCA Explained Variance: 0.164
Layer 14 - PCA Explained Variance: 0.183
Layer 15 - PCA Explained Variance: 0.165
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: 0.231, SM: 0.289
Layer 2 - M²: -0.847, SM: 0.942
Layer 3 - M²: 0.949, SM: 0.615
Layer 4 - M²: 0.943, SM: 0.847
Layer 5 - M²: 0.885, SM: 0.413
Layer 6 - M²: -0.891, SM: 0.968
Layer 7 - M²: 0.906, SM: 1.015
Layer 8 - M²: -0.916, SM: 0.640
Layer 9 - M²: 0.899, SM: 0.446
Layer 10 - M²: 0.875, SM: 0.262
Layer 11 - M²: -0.858, SM: 0.186
Layer 12 - M²: 0.833, SM: 0.189
Layer 13 - M²: 0.812, SM: 0.258
Layer 14 - M²: -0.799, SM: 0.241
Layer 15 - M²: 0.608, SM: 0.502
