The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.319
Layer 2 - PCA Explained Variance: 0.293
Layer 3 - PCA Explained Variance: 0.335
Layer 4 - PCA Explained Variance: 0.338
Layer 5 - PCA Explained Variance: 0.227
Layer 6 - PCA Explained Variance: 0.332
Layer 7 - PCA Explained Variance: 0.316
Layer 8 - PCA Explained Variance: 0.215
Layer 9 - PCA Explained Variance: 0.178
Layer 10 - PCA Explained Variance: 0.181
Layer 11 - PCA Explained Variance: 0.147
Layer 12 - PCA Explained Variance: 0.161
Layer 13 - PCA Explained Variance: 0.166
Layer 14 - PCA Explained Variance: 0.179
Layer 15 - PCA Explained Variance: 0.187
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: 0.118, SM: 0.801
Layer 2 - M²: -0.883, SM: 1.423
Layer 3 - M²: 0.957, SM: 0.905
Layer 4 - M²: 0.948, SM: 1.206
Layer 5 - M²: -0.923, SM: 0.706
Layer 6 - M²: 0.917, SM: 1.274
Layer 7 - M²: 0.908, SM: 1.485
Layer 8 - M²: -0.937, SM: 0.961
Layer 9 - M²: 0.834, SM: 0.707
Layer 10 - M²: 0.880, SM: 0.342
Layer 11 - M²: 0.795, SM: 0.581
Layer 12 - M²: 0.790, SM: 0.038
Layer 13 - M²: 0.762, SM: 0.168
Layer 14 - M²: 0.754, SM: 0.236
Layer 15 - M²: 0.580, SM: 0.357
