The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:01<00:01,  1.55s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:02<00:00,  1.08s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:02<00:00,  1.15s/it]
Layer 0 - PCA Explained Variance: nan
Layer 1 - PCA Explained Variance: 0.142
Layer 2 - PCA Explained Variance: 0.171
Layer 3 - PCA Explained Variance: 0.195
Layer 4 - PCA Explained Variance: 0.174
Layer 5 - PCA Explained Variance: 0.191
Layer 6 - PCA Explained Variance: 0.217
Layer 7 - PCA Explained Variance: 0.214
Layer 8 - PCA Explained Variance: 0.196
Layer 9 - PCA Explained Variance: 0.193
Layer 10 - PCA Explained Variance: 0.211
Layer 11 - PCA Explained Variance: 0.204
Layer 12 - PCA Explained Variance: 0.187
Layer 13 - PCA Explained Variance: 0.193
Layer 14 - PCA Explained Variance: 0.223
Layer 15 - PCA Explained Variance: 0.184
Layer 16 - PCA Explained Variance: 0.188
Layer 17 - PCA Explained Variance: 0.191
Layer 18 - PCA Explained Variance: 0.185
Layer 19 - PCA Explained Variance: 0.176
Layer 20 - PCA Explained Variance: 0.146
Layer 21 - PCA Explained Variance: 0.122
Layer 22 - PCA Explained Variance: 0.114
Layer 23 - PCA Explained Variance: 0.108
Layer 24 - PCA Explained Variance: 0.104
Layer 25 - PCA Explained Variance: 0.102
Layer 26 - PCA Explained Variance: 0.098
Layer 27 - PCA Explained Variance: 0.096
Layer 28 - PCA Explained Variance: 0.107
Layer 29 - PCA Explained Variance: 0.099
Layer 30 - PCA Explained Variance: 0.102
Layer 31 - PCA Explained Variance: 0.103
Layer 0 - M²: nan, SM: 1.000
Layer 1 - M²: -0.845, SM: 1.356
Layer 2 - M²: -0.916, SM: 0.505
Layer 3 - M²: -0.923, SM: 0.543
Layer 4 - M²: -0.899, SM: 0.360
Layer 5 - M²: -0.912, SM: 0.455
Layer 6 - M²: -0.915, SM: 0.465
Layer 7 - M²: -0.919, SM: 0.466
Layer 8 - M²: -0.914, SM: 0.487
Layer 9 - M²: -0.902, SM: 0.538
Layer 10 - M²: -0.882, SM: 0.629
Layer 11 - M²: -0.871, SM: 0.619
Layer 12 - M²: -0.892, SM: 0.595
Layer 13 - M²: -0.889, SM: 0.611
Layer 14 - M²: -0.884, SM: 0.659
Layer 15 - M²: -0.881, SM: 0.639
Layer 16 - M²: -0.885, SM: 0.600
Layer 17 - M²: -0.888, SM: 0.555
Layer 18 - M²: -0.890, SM: 0.508
Layer 19 - M²: -0.891, SM: 0.468
Layer 20 - M²: -0.840, SM: 0.385
Layer 21 - M²: -0.798, SM: 0.302
Layer 22 - M²: -0.702, SM: 0.226
Layer 23 - M²: -0.681, SM: 0.196
Layer 24 - M²: -0.669, SM: 0.185
Layer 25 - M²: -0.674, SM: 0.191
Layer 26 - M²: -0.652, SM: 0.160
Layer 27 - M²: -0.582, SM: 0.096
Layer 28 - M²: -0.528, SM: 0.030
Layer 29 - M²: -0.516, SM: 0.144
Layer 30 - M²: -0.479, SM: 0.220
Layer 31 - M²: 0.417, SM: 0.234
