The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: 0.415
Layer 1 - PCA Explained Variance: 0.134
Layer 2 - PCA Explained Variance: 0.102
Layer 3 - PCA Explained Variance: 0.135
Layer 4 - PCA Explained Variance: 0.171
Layer 5 - PCA Explained Variance: 0.193
Layer 6 - PCA Explained Variance: 0.186
Layer 7 - PCA Explained Variance: 0.180
Layer 8 - PCA Explained Variance: 0.180
Layer 9 - PCA Explained Variance: 0.174
Layer 10 - PCA Explained Variance: 0.164
Layer 11 - PCA Explained Variance: 0.157
Layer 12 - PCA Explained Variance: 0.144
Layer 13 - PCA Explained Variance: 0.148
Layer 14 - PCA Explained Variance: 0.155
Layer 15 - PCA Explained Variance: 0.153
Layer 16 - PCA Explained Variance: 0.158
Layer 17 - PCA Explained Variance: 0.173
Layer 18 - PCA Explained Variance: 0.173
Layer 19 - PCA Explained Variance: 0.157
Layer 20 - PCA Explained Variance: 0.148
Layer 21 - PCA Explained Variance: 0.135
Layer 22 - PCA Explained Variance: 0.127
Layer 23 - PCA Explained Variance: 0.109
Layer 24 - PCA Explained Variance: 0.092
Layer 25 - PCA Explained Variance: 0.088
Layer 26 - PCA Explained Variance: 0.086
Layer 27 - PCA Explained Variance: 0.079
Layer 28 - PCA Explained Variance: 0.070
Layer 29 - PCA Explained Variance: 0.067
Layer 30 - PCA Explained Variance: 0.066
Layer 31 - PCA Explained Variance: 0.066
Layer 32 - PCA Explained Variance: 0.064
Layer 33 - PCA Explained Variance: 0.073
Layer 34 - PCA Explained Variance: 0.072
Layer 35 - PCA Explained Variance: 0.079
Layer 0 - M²: 0.363, SM: 0.441
Layer 1 - M²: 0.031, SM: 1.055
Layer 2 - M²: -0.122, SM: 0.282
Layer 3 - M²: 0.248, SM: 0.496
Layer 4 - M²: 0.235, SM: 0.557
Layer 5 - M²: -0.218, SM: 0.607
Layer 6 - M²: -0.237, SM: 0.622
Layer 7 - M²: -0.226, SM: 0.648
Layer 8 - M²: -0.246, SM: 0.644
Layer 9 - M²: 0.314, SM: 0.647
Layer 10 - M²: 0.363, SM: 0.631
Layer 11 - M²: 0.461, SM: 0.628
Layer 12 - M²: 0.543, SM: 0.618
Layer 13 - M²: 0.560, SM: 0.615
Layer 14 - M²: 0.769, SM: 0.577
Layer 15 - M²: -0.840, SM: 0.545
Layer 16 - M²: -0.874, SM: 0.521
Layer 17 - M²: -0.884, SM: 0.500
Layer 18 - M²: -0.879, SM: 0.479
Layer 19 - M²: -0.874, SM: 0.490
Layer 20 - M²: -0.880, SM: 0.486
Layer 21 - M²: -0.879, SM: 0.475
Layer 22 - M²: -0.858, SM: 0.458
Layer 23 - M²: -0.820, SM: 0.432
Layer 24 - M²: -0.761, SM: 0.348
Layer 25 - M²: -0.713, SM: 0.311
Layer 26 - M²: -0.622, SM: 0.330
Layer 27 - M²: -0.528, SM: 0.283
Layer 28 - M²: -0.239, SM: 0.339
Layer 29 - M²: -0.314, SM: 0.071
Layer 30 - M²: -0.338, SM: 0.141
Layer 31 - M²: -0.346, SM: 0.187
Layer 32 - M²: -0.312, SM: 0.193
Layer 33 - M²: -0.267, SM: 0.433
Layer 34 - M²: -0.264, SM: 0.374
Layer 35 - M²: -0.008, SM: 0.319
