The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: 1.000
Layer 1 - PCA Explained Variance: 0.112
Layer 2 - PCA Explained Variance: 0.189
Layer 3 - PCA Explained Variance: 0.178
Layer 4 - PCA Explained Variance: 0.159
Layer 5 - PCA Explained Variance: 0.155
Layer 6 - PCA Explained Variance: 0.157
Layer 7 - PCA Explained Variance: 0.168
Layer 8 - PCA Explained Variance: 0.180
Layer 9 - PCA Explained Variance: 0.189
Layer 10 - PCA Explained Variance: 0.221
Layer 11 - PCA Explained Variance: 0.235
Layer 12 - PCA Explained Variance: 0.250
Layer 13 - PCA Explained Variance: 0.249
Layer 14 - PCA Explained Variance: 0.270
Layer 15 - PCA Explained Variance: 0.279
Layer 16 - PCA Explained Variance: 0.296
Layer 17 - PCA Explained Variance: 0.305
Layer 18 - PCA Explained Variance: 0.304
Layer 19 - PCA Explained Variance: 0.292
Layer 20 - PCA Explained Variance: 0.279
Layer 21 - PCA Explained Variance: 0.250
Layer 22 - PCA Explained Variance: 0.228
Layer 23 - PCA Explained Variance: 0.215
Layer 24 - PCA Explained Variance: 0.195
Layer 25 - PCA Explained Variance: 0.174
Layer 26 - PCA Explained Variance: 0.166
Layer 27 - PCA Explained Variance: 0.152
Layer 28 - PCA Explained Variance: 0.150
Layer 29 - PCA Explained Variance: 0.148
Layer 30 - PCA Explained Variance: 0.146
Layer 31 - PCA Explained Variance: 0.142
Layer 32 - PCA Explained Variance: 0.136
Layer 33 - PCA Explained Variance: 0.131
Layer 34 - PCA Explained Variance: 0.133
Layer 35 - PCA Explained Variance: 0.130
Layer 0 - M²: 0.808, SM: 5671.512
Layer 1 - M²: 0.079, SM: 0.366
Layer 2 - M²: 0.091, SM: 0.518
Layer 3 - M²: -0.111, SM: 0.306
Layer 4 - M²: -0.169, SM: 0.290
Layer 5 - M²: -0.376, SM: 0.401
Layer 6 - M²: -0.675, SM: 0.518
Layer 7 - M²: 0.822, SM: 0.503
Layer 8 - M²: -0.822, SM: 0.435
Layer 9 - M²: 0.813, SM: 0.424
Layer 10 - M²: 0.886, SM: 0.470
Layer 11 - M²: 0.915, SM: 0.461
Layer 12 - M²: 0.932, SM: 0.480
Layer 13 - M²: -0.943, SM: 0.514
Layer 14 - M²: -0.940, SM: 0.571
Layer 15 - M²: -0.940, SM: 0.551
Layer 16 - M²: -0.948, SM: 0.548
Layer 17 - M²: -0.957, SM: 0.587
Layer 18 - M²: -0.956, SM: 0.611
Layer 19 - M²: 0.953, SM: 0.594
Layer 20 - M²: 0.953, SM: 0.566
Layer 21 - M²: 0.952, SM: 0.572
Layer 22 - M²: 0.942, SM: 0.555
Layer 23 - M²: 0.931, SM: 0.490
Layer 24 - M²: 0.893, SM: 0.411
Layer 25 - M²: 0.845, SM: 0.356
Layer 26 - M²: 0.828, SM: 0.289
Layer 27 - M²: 0.801, SM: 0.131
Layer 28 - M²: -0.797, SM: 0.177
Layer 29 - M²: -0.779, SM: 0.208
Layer 30 - M²: -0.785, SM: 0.279
Layer 31 - M²: -0.774, SM: 0.250
Layer 32 - M²: -0.760, SM: 0.113
Layer 33 - M²: -0.735, SM: 0.394
Layer 34 - M²: -0.739, SM: 0.452
Layer 35 - M²: -0.735, SM: 0.525
