The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: 1.000
Layer 1 - PCA Explained Variance: 0.145
Layer 2 - PCA Explained Variance: 0.163
Layer 3 - PCA Explained Variance: 0.153
Layer 4 - PCA Explained Variance: 0.154
Layer 5 - PCA Explained Variance: 0.151
Layer 6 - PCA Explained Variance: 0.162
Layer 7 - PCA Explained Variance: 0.179
Layer 8 - PCA Explained Variance: 0.193
Layer 9 - PCA Explained Variance: 0.200
Layer 10 - PCA Explained Variance: 0.222
Layer 11 - PCA Explained Variance: 0.234
Layer 12 - PCA Explained Variance: 0.260
Layer 13 - PCA Explained Variance: 0.259
Layer 14 - PCA Explained Variance: 0.271
Layer 15 - PCA Explained Variance: 0.279
Layer 16 - PCA Explained Variance: 0.298
Layer 17 - PCA Explained Variance: 0.310
Layer 18 - PCA Explained Variance: 0.319
Layer 19 - PCA Explained Variance: 0.310
Layer 20 - PCA Explained Variance: 0.298
Layer 21 - PCA Explained Variance: 0.279
Layer 22 - PCA Explained Variance: 0.260
Layer 23 - PCA Explained Variance: 0.248
Layer 24 - PCA Explained Variance: 0.222
Layer 25 - PCA Explained Variance: 0.196
Layer 26 - PCA Explained Variance: 0.191
Layer 27 - PCA Explained Variance: 0.172
Layer 28 - PCA Explained Variance: 0.167
Layer 29 - PCA Explained Variance: 0.160
Layer 30 - PCA Explained Variance: 0.156
Layer 31 - PCA Explained Variance: 0.149
Layer 32 - PCA Explained Variance: 0.143
Layer 33 - PCA Explained Variance: 0.138
Layer 34 - PCA Explained Variance: 0.139
Layer 35 - PCA Explained Variance: 0.136
Layer 0 - M²: -0.803, SM: 5706.947
Layer 1 - M²: -0.067, SM: 1.204
Layer 2 - M²: -0.013, SM: 0.824
Layer 3 - M²: -0.201, SM: 0.826
Layer 4 - M²: -0.160, SM: 0.903
Layer 5 - M²: -0.339, SM: 0.736
Layer 6 - M²: -0.794, SM: 0.592
Layer 7 - M²: -0.809, SM: 0.568
Layer 8 - M²: -0.848, SM: 0.440
Layer 9 - M²: 0.862, SM: 0.443
Layer 10 - M²: 0.888, SM: 0.422
Layer 11 - M²: 0.901, SM: 0.408
Layer 12 - M²: 0.903, SM: 0.431
Layer 13 - M²: -0.919, SM: 0.468
Layer 14 - M²: -0.931, SM: 0.527
Layer 15 - M²: -0.933, SM: 0.497
Layer 16 - M²: -0.934, SM: 0.503
Layer 17 - M²: -0.941, SM: 0.563
Layer 18 - M²: -0.941, SM: 0.582
Layer 19 - M²: 0.943, SM: 0.580
Layer 20 - M²: -0.941, SM: 0.562
Layer 21 - M²: 0.936, SM: 0.558
Layer 22 - M²: -0.926, SM: 0.570
Layer 23 - M²: -0.922, SM: 0.512
Layer 24 - M²: -0.907, SM: 0.462
Layer 25 - M²: 0.882, SM: 0.444
Layer 26 - M²: 0.877, SM: 0.449
Layer 27 - M²: 0.871, SM: 0.411
Layer 28 - M²: -0.866, SM: 0.362
Layer 29 - M²: -0.858, SM: 0.407
Layer 30 - M²: 0.852, SM: 0.397
Layer 31 - M²: 0.841, SM: 0.389
Layer 32 - M²: 0.816, SM: 0.207
Layer 33 - M²: -0.811, SM: 0.256
Layer 34 - M²: 0.811, SM: 0.380
Layer 35 - M²: 0.819, SM: 0.671
