The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /home/bhaskar_mukhoty/.cache/huggingface/token
Login successful
Layer 0 - PCA Explained Variance: 0.360
Layer 1 - PCA Explained Variance: 0.106
Layer 2 - PCA Explained Variance: 0.117
Layer 3 - PCA Explained Variance: 0.173
Layer 4 - PCA Explained Variance: 0.186
Layer 5 - PCA Explained Variance: 0.190
Layer 6 - PCA Explained Variance: 0.177
Layer 7 - PCA Explained Variance: 0.156
Layer 8 - PCA Explained Variance: 0.141
Layer 9 - PCA Explained Variance: 0.142
Layer 10 - PCA Explained Variance: 0.134
Layer 11 - PCA Explained Variance: 0.131
Layer 12 - PCA Explained Variance: 0.118
Layer 13 - PCA Explained Variance: 0.123
Layer 14 - PCA Explained Variance: 0.137
Layer 15 - PCA Explained Variance: 0.145
Layer 16 - PCA Explained Variance: 0.151
Layer 17 - PCA Explained Variance: 0.167
Layer 18 - PCA Explained Variance: 0.169
Layer 19 - PCA Explained Variance: 0.154
Layer 20 - PCA Explained Variance: 0.146
Layer 21 - PCA Explained Variance: 0.132
Layer 22 - PCA Explained Variance: 0.123
Layer 23 - PCA Explained Variance: 0.105
Layer 24 - PCA Explained Variance: 0.088
Layer 25 - PCA Explained Variance: 0.084
Layer 26 - PCA Explained Variance: 0.081
Layer 27 - PCA Explained Variance: 0.073
Layer 28 - PCA Explained Variance: 0.067
Layer 29 - PCA Explained Variance: 0.062
Layer 30 - PCA Explained Variance: 0.060
Layer 31 - PCA Explained Variance: 0.056
Layer 32 - PCA Explained Variance: 0.056
Layer 33 - PCA Explained Variance: 0.058
Layer 34 - PCA Explained Variance: 0.061
Layer 35 - PCA Explained Variance: 0.068
Layer 0 - M²: 0.379, SM: 0.761
Layer 1 - M²: 0.090, SM: 2.130
Layer 2 - M²: -0.163, SM: 1.012
Layer 3 - M²: 0.130, SM: 0.801
Layer 4 - M²: 0.156, SM: 1.502
Layer 5 - M²: 0.174, SM: 1.151
Layer 6 - M²: 0.171, SM: 1.362
Layer 7 - M²: 0.194, SM: 2.290
Layer 8 - M²: -0.289, SM: 0.400
Layer 9 - M²: 0.294, SM: 0.231
Layer 10 - M²: 0.339, SM: 0.242
Layer 11 - M²: 0.450, SM: 0.341
Layer 12 - M²: 0.562, SM: 0.421
Layer 13 - M²: 0.662, SM: 0.431
Layer 14 - M²: 0.836, SM: 0.454
Layer 15 - M²: -0.876, SM: 0.486
Layer 16 - M²: -0.884, SM: 0.489
Layer 17 - M²: -0.886, SM: 0.476
Layer 18 - M²: -0.884, SM: 0.448
Layer 19 - M²: 0.884, SM: 0.458
Layer 20 - M²: -0.883, SM: 0.458
Layer 21 - M²: -0.872, SM: 0.429
Layer 22 - M²: -0.863, SM: 0.416
Layer 23 - M²: -0.836, SM: 0.389
Layer 24 - M²: -0.809, SM: 0.380
Layer 25 - M²: 0.782, SM: 0.382
Layer 26 - M²: -0.766, SM: 0.354
Layer 27 - M²: -0.732, SM: 0.405
Layer 28 - M²: 0.641, SM: 0.376
Layer 29 - M²: -0.641, SM: 0.366
Layer 30 - M²: -0.630, SM: 0.358
Layer 31 - M²: -0.652, SM: 0.384
Layer 32 - M²: -0.664, SM: 0.438
Layer 33 - M²: -0.550, SM: 0.410
Layer 34 - M²: -0.533, SM: 0.475
Layer 35 - M²: -0.412, SM: 0.256
